name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description
Fz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FC1	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FCz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FC2	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FC4	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FC6	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C4	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C6	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP4	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP6	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FC3	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
FC5	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C3	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
C5	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP3	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP5	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP1	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P1	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Cz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CPz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Pz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
POz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
CP2	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
P2	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO7	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO3	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
O1	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Oz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
Iz	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
O2	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO4	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
PO8	EEG	V	0.0	128.0	ElectroEncephaloGram	256.0	good	n/a
